Column 1,Column 2,Column 3,Column 4
RSM422H1 - Management Control,"This course considers the processes and systems, many accounting-based, by which key managers allegedly ensure that resources are acquired and used effectively and efficiently in the accomplishment of an organization’s goals. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",RSM222H1,
RSM424H1 - Canadian Income Taxation II,"This course is designed to give the student an understanding of more complex issues of Canadian income tax law and tax planning. Included are topics, such as, computation of taxes, corporate reorganizations, business acquisitions and divestitures, partnerships, joint ventures and trusts, to name a few. The two course sequence (RSM324H1 and RSM424H1) has been designed to provide coverage of the tax content required by the professional accounting bodies. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",RSM324H1,
RSM425H1 - Financial Reporting and Control: Theory and Contemporary Topics,"This course guides students to learn financial reporting theory and critically evaluate the research findings in accounting. It covers a broad range of topics such as information and measurement perspectives of accounting, agency theory and its implications and the role of network in management control. Not eligible for CR/NCR option. Contact Rotman Commerce for details.","RSM222H1, RSM332H1",
"RSM426H1 - Critical Thinking, Analysis and Decision Making","This is a capstone case course stressing the pervasive competencies and critical thinking skills required from Rotman Commerce graduates, professional accountants and advisors. The course integrates the technical and practical knowledge obtained in previous courses by applying this knowledge to case type situations. Aimed at students seeking an accounting designation. Not eligible for CR/NCR option. Contact Rotman Commerce for details.","Completion of 14.0 credits, RSM222H1, RSM323H1, RSM324H1",
RSM428H1 - Analysis of Banking Financial Institutions and Instruments,"We analyze the financial statements of banks to learn about the risk and return of bank financial assets and financial liabilities. Topics covered include interest rate risk, credit risk, market risk, fair value accounting, securitizations, derivatives and hedging of the banking firm as reflected through bank financial statements. Not eligible for CR/NCR option. Contact Rotman Commerce for details.","RSM219H1, RSM222H1, RSM333H1",
RSM429H1 - Financial Statement Analysis and Valuation,"This course is of interest to those pursuing a career where one needs to analyze financial statements ""intelligently"". This obviously includes those interested in finance related professions such as Investment Banking, Research and Investment Management.  Students interested in consulting and marketing will also find this course useful because of its approach that focuses on business analysis with tie-ins to corporate strategy. This is a capstone course for students completing the Financial Reporting and Control stream in the Accounting Specialist. Not eligible for CR/NCR option. Contact Rotman Commerce for details.","RSM219H1, RSM222H1",
RSM430H1 - Fixed Income Securities,Describes important fixed income securities and markets. The course emphasizes traditional bond and term structure concepts crucial to understand the securities traded in these markets. Students are required to work in the Rotman Financial Research & Trading Lab to solve the assigned problems using real time data. Not eligible for CR/NCR option. Contact Rotman Commerce for details.,Rotman Commerce: RSM332H1; Actuarial Science: ACT349H1,
RSM432H1 - Risk Management for Financial Managers,"This course examines the ways in which risks are quantified and managed by financial institutions. The principal risks considered include market risk, credit risk and operational risk. The course also covers the evolution of bank regulation and the regulatory limits on risk taking. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",RSM333H1,
RSM433H1 - Advanced Corporate Finance,"Applying fundamental finance ideas developed in RSM332H1 and RSM333H1 to real-life problems. The course will focus on business valuation and financial decisions in practical situations, on the assumption that students are already familiar with basic concepts from previous finance courses. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",Rotman Commerce: RSM333H1; Actuarial Science: ACT349H1,
RSM434H1 - Financial Trading Strategies,This course will use finance theory applied with Excel applications to understand potential returns and risks inherent in particular investment/trading strategies. Learning-by-doing will be facilitated by simulation-based Rotman Interactive Trader cases focused on particular risks. This training will be analogous to using a flight simulator for learning to fly. Not eligible for CR/NCR option. Contact Rotman Commerce for details.,RSM332H1,
RSM435H1 - Futures and Options Markets,"This course covers the analysis of derivative instruments such as forwards, futures, swaps and options. By the end of the course, students will have good knowledge of how these contracts work, how they are used and how they are priced. A fee of $35 will be charged to your student account for software purchase. Not eligible for CR/NCR option. Contact Rotman Commerce for details.","ECO204Y1/ECO206Y1, RSM332H1",
RSM437H1 - International Finance,"International financial markets, exchange rates, forward markets, interest rate parity. International dimensions of investment, including both portfolio and foreign direct investment. International dimensions of corporate finance, including valuation and the cost of capital of foreign investments. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",Rotman Commerce: RSM333H1; Actuarial Science: ACT349H1,
RSM438H1 - Investing for Impact,"This course is designed to be an introduction to the field of impact investing - investments that seek to generate financial and social environmental returns. In this course, we will examine different models of impact investing in both emerging and developed markets, the life-cycle of impact investments, new financial instruments and more.","RSM222H1, RSM333H1",
RSM439H1 - Private Equity and Entrepreneurial Finance,"The primary objective of the course is to improve students’ ability to understand the concepts and institutions involved in private equity. The course will provide students with skill sets so they can analyze and understand private equity from multiple perspectives: the perspective of the individual/firm seeking and receiving private equity finance; the perspective of the private equity fund; and, the perspective of the limited partners that provide finance for private equity funds. Students will also learn how to build Leverage Buyout (LBO) models. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",Completion of 14.0 credits; RSM333H1,
RSM450H1 - Marketing and Behavioural Economics,"What motivates consumers, investors, employees, and managers? In this highly interdisciplinary course, we will examine topics such as the role of emotions in decision-making, “irrational” patterns of how people think about products, money, or investments, and how expectations shape perceptions. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",Completion of 9.0 credits,
RSM452H1 - Creativity and Business Innovation,"Creativity is identified as the most important skill business leaders need at all levels. As humans, we must first embrace and develop our creativity, and then use technology to creatively solve business problems. This course guides individuals to combine their thinking, knowledge and skills in imaginative ways, develop key creative behaviours and build personal and professional creative confidence. Through a combination of active lectures, immersive in-class and in-field activities along with online tutorials, you will engage in creative ways to see business problems and opportunities in new ways and develop solutions unseen and unimagined by others. Not eligible for CR/NCR.",RSM250H1 and completion of 14.0 credits,
RSM454H1 - Sales and Distribution Strategy,"Once you have a great product or service to sell, you need the right channel partners and strategies to bring your offering to the end-user. This course discusses what and how many intermediaries to partner with, partner roles and responsibilities, and how to stimulate high performance from channel partners.",RSM250H1,
RSM455H1 - Pricing,"Approaches pricing decision as an intersection of economics and psychology. Using product categories as diverse as financial services, healthcare, industrial products and consumer packaged goods, students study dynamic pricing, value pricing, price customization, price bundling and multi-part tariffs, menu costs and price stickiness, sales promotions, and pricing in two-sided markets. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",Completion of 9.0 credits; RSM250H1,
RSM456H1 - Big Data and Marketing Analytics,"The course is designed to introduce students to tools used in marketing analytics. Companies have been collecting vast databases to aid them in making sound marketing decisions. Examples include retail scanner panel data which keeps track of customers’ purchase histories, loyalty-program data monitoring purchasing under different promotional environments, social network and online shopping history data. The course uses several marketing data sources to illustrate how to use statistical marketing models to evaluate the impacts of marketing-mix, and manage customer lifetime value. Not eligible for CR/NCR option. Contact Rotman Commerce for details.","ECO220Y1/ECO227Y1/(STA220H1, STA255H1)/(STA237H1, STA238H1)/(STA257H1, STA261H1)",
RSM457H1 - Strategic Marketing Communication,"This course covers how marketers communicate with customers - knowledge that is useful to students both as a manager and a consumer. The course will introduce the foundation knowledge of marketing communications as well as new trends in non-traditional media including sponsorships, social media, and digital marketing.",RSM251H1/RSM350H1,
RSM458H1 - Branding Strategy,"Students will assume the role of senior marketing managers responsible for the design, implementation, and evaluation of branding strategies. Brands represent valuable assets that must be created, sustained, leveraged, and defended. This course will use case analysis and a group project to reinforce successful decision making and communication skills. Not eligible for CR/NCR option. Contact Rotman Commerce for details.","Completion of 9.0 credits; RSM251H1/RSM350H1/(RSM250H1, RSM392H1)",
RSM459H1 - Business Design,"What are the principles and practices that drive innovation in organizations? Create breakthrough solutions and businesses? This course teaches students how to identify customer needs, prototype new solutions and design business strategies to create competitive advantage. Students will apply the learning in real time and on real world challenges.",RSM250H1,
RSM461H1 - Managerial Negotiations,"Students learn to recognize, understand, analyze, and practice essential concepts in negotiations required for understanding more complex relations within and between organizations. The main objective is to learn how to analyze the critical factors of a negotiation situation and then to be able to prescribe a course of action. A fee of $50 will be charged to your student account for role play materials. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",Completion of 9.0 credits; RSM260H1,
RSM462H1 - Managing People in the Context of Globalization,This course introduces students to the impact of globalization on managing people. Understanding how organizational behaviour and human resource management processes work in the international context is essential for business success. This course helps students to develop a better understanding of how effective people management can create a competitive advantage in the international context. Not eligible for CR/NCR option. Contact Rotman Commerce for details.,Completion of 9.0 credits; RSM260H1,
RSM463H1 - The Socially Intelligent Manager,One of the most critical skills in leadership is the ability to manage social relationships. The purpose of this course is to introduce you to the science of social intelligence so that you are knowledgeable and confident about how to handle interpersonal issues when you enter the business world. Not eligible for CR/NCR option. Contact Rotman Commerce for details.,Completion of 9.0 credits; RSM260H1,
RSM464H1 - Organization Theory and Its Applications,"Organization theory is an evidence-based approach that allows managers to analyze and design organizations more effectively. Focusing on organizations as social systems, the course emphasizes practical implications in topics that are essential to business success, including strategy implementation, organizational structure and culture, change management, globalization, and the organizational sources of enduring competitive advantage. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",Completion of 9.0 credits; RSM260H1,
RSM465H1 - Understanding Motivation and Incentives: Theory and Practice,"This course is designed to introduce you to the fundamental principles of incentives and motivation, which are essential tools for managers. The course takes an interdisciplinary approach and you will be exposed to theories on these topics from a variety of different disciplines – behavioral decision-making, economics, organizational behavior, and psychology. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",Completion of 9.0 credits; RSM260H1,
RSM466H1 - Environmental and Social Responsibility,"This course examines how corporations engage in the social economy through corporate social responsibility work and how corporations are increasingly ""going green."" It will cover current thinking and practice on corporate social responsiblity and emphasize sustainability in business practices while allowing students to give voice to their own values.",Completion of 9.0 credits,
RSM470H1 - Management Science Modeling with Spreadsheets,"The course presents quantitative methods of modeling business and other systems in order to objectively evaluate available alternatives and select the ‘best’ one with respect to pre-defined criteria. Topics include: Decision Analysis, Linear Programming, Integer Programming, Network Methods, Simulation and Waiting Line Models. Not eligible for CR/NCR option. Contact Rotman Commerce for details.","Completion of 9.0 credits; ECO220Y1/ECO227Y1/(STA220H1,STA255H1)/(STA237H1, STA238H1)/(STA257H1,STA261H1)",
RSM480H1 - Business in a Global Economy,"Application of the analytic framework of international trade, foreign investment and exchange rate economics to management of business. Special topics include the industrial effects of trade liberalization, the role of the World Trade Organization, foreign exchange risk management, competition policy and international taxation. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",RSM333H1,
RSM481H1 - Outsourcing and the Organization of Firms,"Explores the issue of outsourcing, broadly defined: which activities should a firm do “in house” and which should it take outside? Using a combination of cases and economic analysis, it develops a framework for determining the “best” organizational structure. Not eligible for CR/NCR option. Contact Rotman Commerce for details.","ECO204Y1/ECO206Y1, ECO220Y1/ECO227Y1/(STA220H1, STA255H1)/(STA237H1, STA238H1)/(STA257H1, STA261H1)",
RSM482H1 - Game Theory for Business Strategy,"Applies game-theoretic reasoning to analyze business strategy problems, focusing specifically on pricing, advertising, product positioning, product introduction, and relationships with upstream and downstream firms. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",ECO204Y1/ECO206Y1,
RSM483H1 - Real Estate Markets,"This course uses economic methods to analyze real estate markets. Topics covered include the determinants of real estate values, the location decisions of households and firms, land use, urban growth and agglomeration, behavioural real estate economics and real options. Not eligible for CR/NCR option. Contact Rotman Commerce for details.","ECO204Y1/ECO206Y1, ECO220Y1/ECO227Y1/(STA220H1, STA255H1)/(STA237H1, STA238H1)/(STA257H1, STA261H1), RSM332H1",
RSM484H1 - Real Estate Finance and Investment,"Real estate assets account for about one-third of the value of all capital assets in the world. This course provides an understanding of real estate investment, valuation and liabilities along with the public policy associated with home ownership, using modern finance and economic tools. Not eligible for CR/NCR option. Contact Rotman Commerce for details.","ECO204Y1/ECO206Y1, ECO220Y1/ECO227Y1/(STA220H1, STA255H1)/(STA237H1, STA238H1)/(STA257H1, STA261H1), RSM332H1",
RSM490H1 - International Strategy,"Focuses on developing an understanding of the fundamentals of doing business in an international environment. Based on the application of management theory (trade theory, modes of entry, foreign direct investment, theory of the multinational) to the strategic management problems of organizing business in the international arena. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",RSM392H1,
RSM491H1 - Global Capital Market Strategy,"This course exposes students to the intersection of global political economy and investment strategies, with particular emphasis on current global economic trends. The last 15 years have seen a dramatic expansion in the geographic scope for private equity investments, and in the risk involved in such investments. RSM491H1 will teach students to think through the issues facing executives, investors and policy makers considering investments. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",RSM332H1,
RSM492H1 - Cooperative Strategy,"Cooperation to create economic value is a central feature of markets: from sophisticated coordination in strategic alliances to simple acts of agreement between buyers and sellers. This course goes beyond Porter's Five Forces to develop a rigorous understanding of the connections between value creation, competition and firm performance. Not eligible for CR/NCR option.",RSM392H1,
RSM493H1 - Entrepreneurship,"Introduces essentials of starting a new business: how to evaluate new opportunities, craft strategy, obtain resources, manage growth, and distribute ownership. Applies concepts from strategic management to challenges facing new/small businesses. Examines the role of entrepreneurs in spurring technological innovation and economic growth, and the effect of government policy on entrepreneurial activity. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",RSM392H1,
RSM494H1 - Technology Strategy,"Teaches about technological evolution and how evolutionary stages impact firms’ strategic choices. Important issues in technological evolution are technological discontinuities, standards wars, dominant designs and patenting. Important strategic decisions concern innovation management, product versus process focus and intellectual property strategies. Project oriented coursework based on patent and business data bases. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",RSM392H1,
RSM495H1 - Management Consulting,This course examines the management consultant's role and how the consulting industry serves to enhance effectiveness of client organizations. Future management advisors will learn skills necessary to support successful consulting business models and how to professionally engage clients to assist in generating competitive advantage through design/implementation of innovative approaches. Not eligible for CR/NCR option. Contact Rotman Commerce for details.,RSM392H1.,
RSM496H1 - Catastrophic Failure in Organizations,Addressing the risk of catastrophic failure is an increasingly important strategic challenge for firms. This course explores why modern organizations are vulnerable to catastrophic failure and how managers and consultants can manage catastrophic risks more effectively.,RSM260H1 or RSM270H1 or RSM392H1,
RSM498Y1 - Special Topics in Management: Creative Destruction Lab,Topics and issues in Management. Content in any given year will depend on the instructor. Consult the Rotman Commerce website (www.rotmancommerce.utoronto.ca) for full course description and prerequisites. Not eligible for CR/NCR option. Contact Rotman Commerce for details.,Completion of 14.0 credits; RSM391H1 and successful application,
RSM100H1 - Introduction to Management,"Introduction to management and its subdisciplines. Themes include business in a Canadian context, the nature of corporations, corporate governance, organizational behavior, operations, and strategy. Enrolment limited to students entering the University with an expressed interest in studying at Rotman Commerce.",,RSM100Y1
MGT100H1 - Fundamentals of Management,"Introduction to management and its subdisciplines. Themes include business in a Canadian context, the nature of corporations, corporate governance, organizational behavior, operations, and strategy. Not open to Rotman Commerce students.",,RSM100Y1
RSM210H1 - Special Topics in Management,Topics and Issues in Management. Content in any given year will depend on the instructor. See the Rotman Commerce website (www.rotmancommerce.utoronto.ca) for a full course description.,Completion of 4.0 credits. Further prerequisites may vary from year to year. Consult the course description on the  Rotman Commerce website for details.,
RSM211H1 - Special Topics in Management,Topics and Issues in Management. Content in any given year will depend on the instructor. See the Rotman Commerce website (www.rotmancommerce.utoronto.ca) for a full course description.,Completion of 4.0 credits. Further prerequisites may vary from year to year. Consult the course description on the Rotman Commerce website for details.,
RSM212H1 - Special Topics in Management,Topics and Issues in Management. Content in any given year will depend on the instructor. See the Rotman Commerce website (www.rotmancommerce.utoronto.ca) for a full course description.,Completion of 4.0 credits. Further prerequisites may vary from year to year. Consult the course description on the Rotman Commerce website for details.,
RSM213H1 - Special Topics in Management,Topics and Issues in Management. Content in any given year will depend on the instructor. See the Rotman Commerce website (www.rotmancommerce.utoronto.ca) for a full course description.,Completion of 4.0 credits. Further prerequisites may vary from year to year. Consult the course description on the Rotman Commerce website for details.,
RSM219H1 - Introduction to Financial Accounting,Basic introduction to financial reporting and analysis. Emphasis is on decision-making and interpretation of financial statements and how they can be used to plan a firm’s overall business activities through the use of real-world companies. Coverage includes the use of accounting information to prepare a basic set of financial statements. Not eligible for CR/NCR option. Contact Rotman Commerce for details.|Note: This course is normally taken in first year.,,
RSM220H1 - Intermediate Financial Accounting I,"Foundations of financial reporting and analysis in Canada. Financial accounting topics are covered at an intermediate level, including both conceptual and technical aspects. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",RSM219H1; Completion of the Rotman Commerce Guaranteed Admission requirements.,
RSM221H1 - Intermediate Financial Accounting II,Covers topics such as income statement and balance sheet topics with an emphasis on quality of earnings. Not eligible for CR/NCR option. Contact Rotman Commerce for details.,RSM220H1,
RSM222H1 - Management Accounting I,"Covers the conceptual and analytical foundations of management accounting and the applications of cost accounting information. Costing and control concepts are analyzed to equip students with tools for establishing costing systems, making business decisions, and evaluating management performance. Materials are designed to help students understand strategic cost management principles. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",RSM219H1; Completion of the Rotman Commerce Guaranteed Admission requirements.,
RSM225H1 - Legal Environment of Business I,"Introduces students to the Canadian legal system as it relates to business entities. The course focuses on general legal concepts, including sources of law and the court structure; business entity law (including corporate law), commercial law (contract) as well as the law of torts. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",Completion of the Rotman Commerce Guaranteed Admission requirements.,
RSM230H1 - Financial Markets,"Introduction to Canadian and international financial markets. This course provides an overview of the major financial institutions, financial markets, financial securities, and an introduction to valuation and trading of securities. Securities discussed include stocks and bonds, as well as some content on derivatives. Not eligible for CR/NCR option. Contact Rotman Commerce for details.|Note: This course is normally taken in first year.",,
RSM250H1 - Principles of Marketing,"Students receive an introduction to the basic concepts, theories, and methods of contemporary marketing. The course offers a comprehensive framework to develop successful marketing efforts and allows students to create a marketing plan. Specific topics examined: market research, consumer behaviour, segmentation, product policy, pricing, distribution, communications, sales, and direct marketing. Not eligible for CR/NCR option. Contact Rotman Commerce for details.|Note: This course is normally taken in first year.",,
RSM260H1 - Organizational Behaviour,"Theoretical ideas and practical applications concerning the behaviour of individuals and groups in organizations. We explore relevant topics for management: motivation, personality, perception, decision-making, groups, and negotiation. A fee of $10 will be charged to your student account for a simulation handbook. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",Completion of the Rotman Commerce Guaranteed Admission requirements.,
RSM270H1 - Operations Management,"Introduction to the management of business processes that convert inputs (labor, material, equipment) into outputs (goods and services) for internal and external markets. Topics include aggregate planning, inventory processes, supply chain management and service operations management. Presents modern quantitative and computing tools necessary for in-depth operational design and analysis. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",Completion of the Rotman Commerce Guaranteed Admission requirements.,
RSM295Y0 - Special Topics,The areas of concentration depend on the instructor teaching the course. (Offered only during the summer session through the Summer Abroad Program). Not eligible for CR/NCR option. Contact Rotman Commerce for details.,,
MGT295Y0 - Special Topics,The area of concentration and location depend on the instructor teaching the course. (Offered only during the Summer Session through the Summer Abroad Program). Contact Rotman Commerce for details.,,
RSM296Y0 - Special Topics,The areas of concentration depend on the instructor teaching the course. (Offered only during the Summer Session through the Summer Abroad Program). Not eligible for CR/NCR option. Contact Rotman Commerce for details.,,
MGT296Y0 - Special Topics,The area of concentration and location depend on the instructor teaching the course. (Offered only during the Summer Session through the Summer Abroad Program). Contact Rotman Commerce for details.,,
RSM297Y0 - Special Topics,The areas of concentration and location depend on the instructor teaching the course. (Offered only during the Summer Session through the Summer Abroad Program). Not eligible for CR/NCR option. Contact Rotman Commerce for details.,,
MGT297Y0 - Special Topics,The area of concentration and location depend on the instructor teaching the course. (Offered only during the Summer Session through the Summer Abroad Program). Contact Rotman Commerce for details.,,
RSM301H1 - Independent Study,Open when a faculty member is willing and able to supervise. Students must obtain the approval of the Director of Rotman Commerce and the supervising faculty member before enrolling. Enrolment is restricted to Rotman Commerce students. Consult the Rotman Commerce Office for details. Not eligible for CR/NCR option.,"9.0 credits, Cumulative GPA of at least 2.70",
MGT301H1 - Independent Study,Open when a faculty member is willing and able to supervise. Students must obtain the approval of the Director of Rotman Commerce and the supervising faculty member before enrolling. Enrolment is restricted to students not in a Rotman Commerce program. Consult the Rotman Commerce Office for details. Not eligible for CR/NCR option.,"9.0 credits, Cumulative GPA of at least 2.70",
RSM302H1 - Independent Study,Open when a faculty member is willing and able to supervise. Students must obtain the approval of the Director of Rotman Commerce and the supervising faculty member before enrolling. Enrolment is restricted to Rotman Commerce students. Consult the Rotman Commerce Office for details. Not eligible for CR/NCR option.,"9.0 credits, Cumulative GPA of at least 2.70",
MGT302H1 - Independent Study,Open when a faculty member is willing and able to supervise. Students must obtain the approval of the Director of Rotman Commerce and the supervising faculty member before enrolling. Enrolment is restricted to students not in a Rotman Commerce program. Consult the Rotman Commerce Office for details. Not eligible for CR/NCR option.,"9.0 credits, Cumulative GPA of at least 2.70",
RSM303Y1 - Independent Study,Open when a faculty member is willing and able to supervise. Students must obtain the approval of the Director of Rotman Commerce and the supervising faculty member before enrolling. Enrolment is restricted to Rotman Commerce students. Consult the Rotman Commerce Office for details. Not eligible for CR/NCR option.,"9.0 credits, Cumulative GPA of at least 2.70",
MGT303Y1 - Independent Study,Open when a faculty member is willing and able to supervise. Students must obtain the approval of the Director of Rotman Commerce and the supervising faculty member before enrolling. Enrolment is restricted to students not in a Rotman Commerce program. Consult the Rotman Commerce Office for details. Not eligible for CR/NCR option.,"9.0 credits, Cumulative GPA of at least 2.70",
RSM304Y1 - Independent Study,Open when a faculty member is willing and able to supervise. Students must obtain the approval of the Director of Rotman Commerce and the supervising faculty member before enrolling. Enrolment is restricted to Rotman Commerce students. Consult the Rotman Commerce Office for details. Not eligible for CR/NCR option.,"9.0 credits, Cumulative GPA of at least 2.70",
RSM310H1 - Special Topics in Management,Topics and Issues in Management. Content in any given year will depend on the instructor. See the Rotman Commerce website (www.rotmancommerce.utoronto.ca) for a full course description.,Completion of 9.0 credits. Further prerequisites may vary from year to year. Consult the course description on the Rotman Commerce website for details.,
RSM311H1 - Special Topics in Management,Topics and Issues in Management. Content in any given year will depend on the instructor. See the Rotman Commerce website (www.rotmancommerce.utoronto.ca) for a full course description.,Completion of 9.0 credits. Further prerequisites may vary from year to year. Consult the course description on the Rotman Commerce website for details.,
RSM312H1 - Special Topics in Management,Topics and Issues in Management. Content in any given year will depend on the instructor. See the Rotman Commerce website (www.rotmancommerce.utoronto.ca) for a full course description.,Completion of 9.0 credits. Further prerequisites may vary from year to year. Consult the course description on the Rotman Commerce website for details.,
RSM313H1 - Special Topics in Management,Topics and Issues in Management. Content in any given year will depend on the instructor. See the Rotman Commerce website (www.rotmancommerce.utoronto.ca) for a full course description.,Completion of 9.0 credits. Further prerequisites may vary from year to year. Consult the course description on the Rotman Commerce website for details.,
RSM314H1 - Special Topics in Management,Topics and Issues in Management. Content in any given year will depend on the instructor. See the Rotman Commerce website (www.rotmancommerce.utoronto.ca) for a full course description.,Completion of 9.0 credits. Further prerequisites may vary from year to year. Consult the course description on the Rotman Commerce website for details.,
RSM315H1 - Special Topics in Management,Topics and Issues in Management. Content in any given year will depend on the instructor. See the Rotman Commerce website (www.rotmancommerce.utoronto.ca) for a full course description.,Completion of 9.0 credits. Further prerequisites may vary from year to year. Consult the course description on the Rotman Commerce website for details.,
RSM316H1 - Special Topics in Management,Topics and Issues in Management. Content in any given year will depend on the instructor. See the Rotman Commerce website (www.rotmancommerce.utoronto.ca) for a full course description.,Completion of 9.0 credits. Further prerequisites may vary from year to year. Consult the course description on the Rotman Commerce website for details.,
RSM317H1 - Special Topics in Management,Topics and Issues in Management. Content in any given year will depend on the instructor. See the Rotman Commerce website (www.rotmancommerce.utoronto.ca) for a full course description.,Completion of 9.0 credits. Further prerequisites may vary from year to year. Consult the course description on the Rotman Commerce website for details.,
RSM318H1 - Special Topics in Management,Topics and Issues in Management. Content in any given year will depend on the instructor.See the Rotman Commerce website (www.rotmancommerce.utoronto.ca) for a full course description.,Completion of 9.0 credits. Further prerequisites may vary from year to year. Consult the course description on the Rotman Commerce website for details.,
RSM319H1 - Special Topics in Management,Topics and Issues in Management. Content in any given year will depend on the instructor. See the Rotman Commerce website (www.rotmancommerce.utoronto.ca) for a full course description.,Completion of 9.0 credits. Further prerequisites may vary from year to year. Consult the course description on the Rotman Commerce website for details.,
RSM320H1 - Intermediate Financial Accounting III,"Covers broader areas in financial reporting, drawing upon regulatory documents and corporate communications. Topics include corporate reporting quality, employee future benefits, employee compensation disclosure and analysis, income tax accounting, narrative reporting. Emphasis on the context of financial reporting including an organization’s ‘tone at the top’ and the adoption of international standards. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",RSM221H1,
RSM321H1 - Advanced Financial Accounting Topics,"This course covers accounting issues and practices relating to long-term investments, consolidations, foreign transactions and foreign investments. International accounting issues are also introduced. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",RSM320H1,
RSM323H1 - Auditing I,This course introduces students to the concepts and theory underlying audit practice. Practical examples are used to help students develop skills in exercising professional judgment. Not eligible for CR/NCR option. Contact Rotman Commerce for details.,RSM221H1,
RSM324H1 - Canadian Income Taxation I,"This course emphasises the fundamentals of the Canadian tax system.  Included are topics, such as, residence of corporations and individuals, effective tax rates for corporations and individuals, business income, integration, capital gains and losses, to name a few.    A key objective of this course is to assist students in learning to read, interpret and apply provisions of the Income Tax Act to practical problems and cases. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",RSM220H1,
RSM325H1 - Legal Environment of Business II,"This course canvasses several areas of law that impact a business entity. Topics dealt with include agency law, employment law, the Personal Property Security Act and the rights of the secured creditor, bankruptcy law, relevant consumer protection legislation, intellectual property and other specific legal topics. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",RSM225H1,
RSM326H1 - Data Analytics with Financial Accounting Information,Students will learn how to better understand and analyze accounting information through empirical analysis. The course will teach students how to extract information from rich accounting and finance datasets to help provide insights in a wide range of corporate business problems in both equity and debt markets. Different modeling approaches are used to analyze accounting data and disclosure information. Not eligible for CR/NCR.,"RSM219H1, ECO220Y1/ECO227Y1/(STA220H1, STA255H1)/(STA237H1, STA238H1)/(STA257H1, STA261H1)",RSM311H1 - Analytical Insights using Financial Data
RSM327H1 - Business Information Systems,"This course helps students use, develop, and manage computer-based systems. The first half covers the basic features of hardware, software, communications, and databases. The second half examines how users, businesses, the economy, and society are affected by the development of this technology. No previous background in computing is assumed. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",,
RSM328H1 - Financial Distress and Insolvency,"This course explores the reasons for financial distress and introduces options for managers, creditors, lenders, and directors of firms in financial distress. The use of financial ratios to predict solvency problems is covered as well as strategies both for restructuring companies having financial difficulties and for negotiation with creditors. Not eligible for CR/NCR option. Contact Rotman Commerce for details.","RSM219H1, RSM222H1",
RSM329H1 - Accounting for Finance Professionals,"Finance professionals often rely heavily on accounting information obtained from financial statements and other sources of financial reporting. This course builds on the basic foundations provided in RSM219H1, Introduction to Financial Accounting, and provides an intermediate-level discussion of key concepts required to competently read, analyze, interpret, and evaluate financial statement information. Following topics are discussed from the perspectives of International Financial Reporting Standards (IFRS) and U.S. Generally Accepted Accounting Principles (US GAAP): revenue recognition, cash flows, inventories, long-lived assets, non-current liabilities, income taxes, and financial statement analysis. Not eligible for CR/NCR option.",RSM219H1,RSM212H1
RSM332H1 - Capital Market Theory,"An introduction to capital market theory explaining how financial securities are priced. Topics covered include the time and risk value of money, the use of discounted cash flow techniques, efficient set theory, asset pricing and market efficiency. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",RSM230H1,
RSM333H1 - Introduction to Corporate Finance,"Application and development of the ideas in RSM332H1 to corporate finance problems such as determining the weighted average cost of capital, project evaluation, corporate financing decisions, working capital management and initial public offerings. Not eligible for CR/NCR option. Contact Rotman Commerce for details.","RSM219H1, RSM332H1",
RSM336H1 - Investments,"This course provides an introduction to financial theories and analytical tools for making investment decisions and for understanding how prices are determined for stocks and bonds. The course covers a broad range of topics including asset allocation, technical analysis, fundamental analysis, anomalies, and bond portfolio management. Not eligible for CR/NCR option. Contact Rotman Commerce for details.","RSM230H1, RSM332H1",RSM330H1
