Course Names,descriptions,prereq,Column 4,Breadth requirements,distribution requirements
CSC457H1 - Principles of Computer Networks,"The course covers fundamental principles of computer networks, as well as currently used network architectures and protocols. Its emphasis is 1) to explain why reliable data transfer, addressing, routing and congestion control are the fundamental concepts, 2) to explore the design principles behind algorithms/protocols for reliable data transfer, addressing, routing and congestion control and 3) to use current protocols such as TCP/IP, ARQ, Ethernet, CSMA/CD, DNS and Internet routing protocols as examples of concrete implementations/designs of these protocols. It will highlight the trade-offs (and approaches to navigate these trade-offs) in the design of computer network protocols.","CSC373H1/CSC373H5/CSCC73H3, STA247H1/STA255H1/STA257H1/STA237H1",CSC358H1,The Physical and Mathematical Universes (5),Science
CSC458H1 - Computer Networking Systems,"Computer networks with an emphasis on network systems, network programming, and applications. Networking basics: layering, routing, congestion control, and the global Internet. Network systems design and programming: Internet design, socket programming, and packet switching system fundamentals. Additional topics include network security, multimedia, software-defined networking, peer-to-peer networking, and online social networks.","CSC209H1, CSC258H1, CSC263H1/CSC265H1, STA247H1/STA255H1/STA257H1/STA237H1/ECO227Y1",,The Physical and Mathematical Universes (5),Science
CSC463H1 - Computational Complexity and Computability,"Introduction to the theory of computability: Turing machines and other models of computation, Church’s thesis, computable and noncomputable functions, recursive and recursively enumerable sets, many-one reductions. Introduction to complexity theory: P, NP, polynomial time reducibility, NP-completeness, self-reducibility, space complexity (L, NL, PSPACE and completeness for those classes), hierarchy theorems, and provably intractable problems.",CSC236H1/ CSC240H1/ CSC236H5/ CSCB36H3,,The Physical and Mathematical Universes (5),Science
CSC465H1 - Formal Methods in Software Design,"Using mathematics to write error-free programs. Proving each refinement; identifying errors as they are made. Program development to meet specifications; modifications that preserve correctness. Useful for all programming; essential for programs that lives depend on. Basic logic, formal specifications, refinement. Conditional, sequential, parallel, interaction, probabilistic programming, and functional programming.",CSC236H1/CSC240H1/MAT309H1/CSC236H5/CSCB36H3,,The Physical and Mathematical Universes (5),Science
CSC466H1 - Numerical Methods for Optimization Problems,"Numerical methods for unconstrained optimization problems, in particular line search methods and trust region methods. Topics include steepest descent, Newton's method, quasi-Newton methods, conjugate gradient methods and techniques for large problems. This course will normally be offered every other year.","CSC336H1, MAT221H1/MAT223H1/MAT240H1, MAT235Y1/MAT237Y1/MAT257Y1",,The Physical and Mathematical Universes (5),Science
CSC469H1 - Operating Systems Design and Implementation,"An in-depth exploration of the major components of operating systems with an emphasis on the techniques, algorithms, and structures used to implement these components in modern systems. Project-based study of process management, scheduling, memory management, file systems, and networking is used to build insight into the intricacies of a large concurrent system.",CSC369H1,,The Physical and Mathematical Universes (5),Science
CSC473H1 - Advanced Algorithm Design,"Advanced algorithm design techniques, with emphasis on the role that geometry, approximation, randomization, and parallelism play in modern algorithms. Examples will be drawn from linear programming and basics of continuous optimization; randomized algorithms for string matching, graph problems, and number theory problems; streaming algorithms and parallel algorithms in the Map-Reduce model.","CSC373H1, MAT221H1/MAT223H1/MAT240H1",,The Physical and Mathematical Universes (5),Science
CSC485H1 - Computational Linguistics,"Computational linguistics and the processing of language by computer. Topics include: context-free grammars; chart parsing, statistical parsing; semantics and semantic interpretation; ambiguity resolution techniques; reference resolution. Emphasis on statistical learning methods for lexical, syntactic, and semantic knowledge.",CSC209H1/ APS105H1/ APS106H1/ ESC180H1/ CSC180H1; STA237H1/ STA247H1/​ STA255H1/ ​STA257H1/ ECE302H1/ STA286H1/ CHE223H1/ CME263H1/ MIE231H1/ MIE236H1/ MSE238H1/ ECE286H1,,The Physical and Mathematical Universes (5),Science
CSC486H1 - Knowledge Representation and Reasoning,"Representing knowledge symbolically in a form suitable for automated reasoning, and associated reasoning methods. Topics from: first-order logic, entailment, the resolution method, Horn clauses, procedural representations, production systems, description logics, inheritance networks, defaults and probabilities, tractable reasoning, abductive explanation, the representation of action, planning.",CSC384H1/ CSC384H5/ ROB311H1,,The Physical and Mathematical Universes (5),Science
CSC488H1 - Compilers and Interpreters,"The structure of compilers, Programming language processing. Scanning based on regular expressions, Parsing using context free grammars, Semantic analysis (type and usage checking), Compiler dictionaries and tables. Runtime organization and storage allocation, code generation, optimization. Use of modern compiler building tools. Course project involves building a complete compiler.","CSC258H1/CSC258H5/CSCB58H3, CSC324H1/CSC324H5/CSCC24H3, CSC263H1/CSC265H1/CSC263H5/CSCB63H3",,The Physical and Mathematical Universes (5),Science
CSC490H1 - Capstone Design Project,"This half-course gives students experience solving a substantial problem that may span several areas of Computer Science. Students will define the scope of the problem, develop a solution plan, produce a working implementation, and present their work using written, oral, and (if suitable) video reports. Class time will focus on the project, but may include some lectures. The class will be small and highly interactive. Project themes change each year. Contact the Computer Science Undergraduate Office for information about this year’s topic themes, required preparation, and course enrolment procedures. Not eligible for CR/NCR option.",Permission of the instructor,,The Physical and Mathematical Universes (5),Science
CSC491H1 - Capstone Design Project,"This course is designed and delivered by industry experts from the Software/Tech fields. Students will work with teammates from CSC454H1 to develop a marketable startup on a selected theme.|The class will be small and highly interactive. You will work to develop working software industry best practices. You are expected to have experience writing software and be able to learn on the go.|For more details, visit our website at https://www.dcsil.ca/student-courses.|Contact the Computer Science Undergraduate Office for course enrollment procedures. Not eligible for CR/NCR option.",Permission of the instructor,,The Physical and Mathematical Universes (5),Science
CSC494H1 - Computer Science Project,This half-course involves a significant project in any area of Computer Science. The project may be undertaken individually or in small groups. The course is offered by arrangement with a Computer Science faculty member. Not eligible for CR/NCR option.,"Three 300-/400-level CSC half-courses, and permission of the Associate Chair, Undergraduate Studies. Contact the Computer Science Undergraduate Office for information about course enrolment procedures.",,The Physical and Mathematical Universes (5),Science
CSC494Y1 - Computer Science Project,This course involves a significant project in any area of Computer Science. The project may be undertaken individually or in small groups. The course is offered by arrangement with a Computer Science faculty member. Not eligible for CR/NCR option.,"Three 300-/400-level CSC half-courses, and permission of the Associate Chair, Undergraduate Studies. Contact the Computer Science Undergraduate Office for information about course enrolment procedures.",,The Physical and Mathematical Universes (5),Science
CSC495H1 - Computer Science Project,This half-course involves a significant project in any area of Computer Science. The project may be undertaken individually or in small groups. The course is offered by arrangement with a Computer Science faculty member. Not eligible for CR/NCR option.,"Three 300-/400-level CSC half-courses, and permission of the Associate Chair, Undergraduate Studies. Contact the Computer Science Undergraduate Office for information about course enrolment procedures.",,The Physical and Mathematical Universes (5),Science
JCC250H1 - Computing for Science,"Computational skills for the modern practice of basic and applied science. Applied computer programming with an emphasis on practical examples related to the simulation of matter, drawing from scientific disciplines including chemistry, biology, materials science, and physics. Studio format with a mixture of lecture, guided programming, and open scientific problem solving. Students will be exposed to Python numerical and data analysis libraries. No prior programming experience is required.","CHM135H1/CHM136H1/CHM151Y1, 0.5 credit in MAT (excluding FYF courses)",CSC198H1,The Physical and Mathematical Universes (5),Science
JSC270H1 - Data Science I,"This course is restricted to students in the Data Science Specialist program. Data exploration and preparation; data visualization and presentation; and computing with data will be introduced. Professional skills, such as oral and written communication, and ethical skills for data science will be introduced. Data science workflows will be integrated throughout the course. These topics will be explored through case studies and collaboration with researchers in other fields.","STA257H1, CSC207H1",,The Physical and Mathematical Universes (5),
JSC370H1 - Data Science II,"This course is restricted to students in the Data Science Specialist program. Students will learn to identify and answer questions through the application of exploratory data analysis, data visualization, statistical methods or machine learning algorithms to complex data. Software development for data science and reproducible workflows. Communication of statistical information at various technical levels, ethical practice of data analysis and software development, and teamwork skills. Topics will be explored through case studies and collaboration with researchers in other fields.","JSC270H1, STA261H1, MAT237Y1/MAT257Y1, CSC263H1, STA302H1, CSC343H1",,The Physical and Mathematical Universes (5),Science
JSC470H1 - Data Science III,"This course is restricted to students in the Data Science Specialist program. Research topics and applications of data science methods will be explored through case studies and collaboration with researchers in other fields. Data analysis, visualization, and communication of statistical information at various technical levels, ethical practice of data analysis and software development, and teamwork skills.","JSC370H1, STA314H1/CSC411H1/CSC311H1, STA303H1/STA305H1",,The Physical and Mathematical Universes (5),Science
